iter	Passed	Remaining
753	85113	27769
754	85226	27656
755	85339	27543
756	85457	27432
757	85575	27320
758	85692	27209
759	85808	27097
760	85921	26984
761	86034	26871
762	86146	26758
763	86261	26646
764	86382	26535
765	86495	26422
766	86606	26309
767	86714	26195
768	86827	26082
769	86945	25970
770	87061	25858
771	87179	25747
772	87291	25633
773	87405	25521
774	87522	25409
775	87639	25297
776	87755	25186
777	87868	25073
778	87979	24959
779	88094	24847
780	88210	24735
781	88363	24633
782	88484	24522
783	88600	24410
784	88715	24297
785	88830	24185
786	88945	24072
787	89063	23961
788	89180	23849
789	89294	23736
790	89411	23624
791	89532	23513
792	89648	23401
793	89763	23288
794	89879	23176
795	89995	23064
796	90106	22950
797	90220	22837
798	90343	22727
799	90465	22616
800	90582	22504
801	90697	22391
802	90821	22281
803	90938	22169
804	91052	22056
805	91168	21943
806	91283	21831
807	91400	21718
808	91524	21608
809	91645	21497
810	91760	21384
811	91876	21271
812	91990	21158
813	92112	21047
814	92227	20935
815	92339	20821
816	92456	20709
817	92570	20596
818	92691	20484
819	92808	20372
820	92926	20260
821	93038	20147
822	93151	20033
823	93268	19921
824	93388	19809
825	93503	19696
826	93618	19583
827	93735	19471
828	93850	19358
829	93966	19246
830	94083	19133
831	94199	19021
832	94316	18908
833	94429	18795
834	94560	18685
835	94687	18575
836	94813	18464
837	94935	18352
838	95050	18239
839	95176	18128
840	95289	18015
841	95410	17903
842	95529	17791
843	95642	17678
844	95759	17565
845	95878	17453
846	95994	17340
847	96106	17226
848	96218	17113
849	96328	16999
850	96437	16885
851	96546	16771
852	96663	16658
853	96776	16544
854	96891	16431
855	97005	16318
856	97124	16206
857	97245	16094
858	97363	15981
859	97478	15868
860	97587	15754
861	97700	15641
862	97814	15527
863	97932	15415
864	98046	15302
865	98155	15187
866	98271	15075
867	98382	14961
868	98493	14847
869	98602	14733
870	98712	14619
871	98822	14505
872	98929	14391
873	99040	14278
874	99156	14165
875	99270	14051
876	99384	13938
877	99499	13825
878	99615	13712
879	99733	13600
880	99845	13486
881	99958	13373
882	100071	13259
883	100180	13145
884	100293	13032
885	100410	12919
886	100523	12806
887	100632	12692
888	100747	12579
889	100861	12466
890	100968	12351
891	101078	12238
892	101187	12124
893	101309	12012
894	101418	11898
895	101529	11784
896	101646	11671
897	101757	11558
898	101864	11444
899	101979	11331
900	102089	11217
901	102198	11103
902	102308	10989
903	102418	10876
904	102527	10762
905	102637	10648
906	102746	10535
907	102857	10421
908	102972	10308
909	103083	10195
910	103194	10081
911	103306	9968
912	103417	9854
913	103529	9741
914	103638	9627
915	103745	9513
916	103853	9400
917	103962	9286
918	104071	9172
919	104181	9059
920	104294	8945
921	104402	8832
922	104518	8719
923	104633	8606
924	104748	8493
925	104857	8379
926	104967	8266
927	105076	8152
928	105184	8038
929	105292	7925
930	105400	7811
931	105512	7698
932	105628	7585
933	105744	7472
934	105855	7358
935	105966	7245
936	106076	7132
937	106183	7018
938	106292	6905
939	106401	6791
940	106509	6678
941	106619	6564
942	106731	6451
943	106845	6338
944	106955	6224
945	107067	6111
946	107181	5998
947	107290	5885
948	107398	5771
949	107507	5658
950	107614	5544
951	107724	5431
952	107832	5318
953	107942	5204
954	108057	5091
955	108166	4978
956	108280	4865
957	108394	4752
958	108502	4638
959	108614	4525
960	108724	4412
961	108834	4299
962	108947	4185
963	109060	4072
964	109172	3959
965	109288	3846
966	109406	3733
967	109521	3620
968	109635	3507
969	109744	3394
970	109854	3280
971	109963	3167
972	110081	3054
973	110199	2941
974	110316	2828
975	110432	2715
976	110557	2602
977	110677	2489
978	110796	2376
979	110914	2263
980	111031	2150
981	111141	2037
982	111254	1924
983	111364	1810
984	111475	1697
985	111585	1584
986	111698	1471
987	111823	1358
988	111936	1244
989	112063	1131
990	112189	1018
991	112310	905
992	112448	792
993	112578	679
994	112707	566
995	112832	453
996	112967	339
997	113119	226
998	113276	113
999	113428	0
